region number,d13C,Age
1,0.07,145
1,0.07,145
1,-0.12,145
1,-0.12,145
1,-0.23,145.7
1,-0.23,145.7
1,-0.19,146.8
1,-0.19,146.8
1,0.55,146.8
1,0.55,146.8
1,0.06,147.2
1,0.06,147.2
1,0.06,147.2
1,0.06,147.2
1,-0.02,147.7
1,-0.02,147.7
1,0.33,147.7
1,0.33,147.7
1,0.02,149
1,0.02,149
1,0.31,150.7
1,0.31,150.7
1,1.07,152.8
1,1.07,152.8
1,2.39,152.8
1,2.39,152.8
1,1.69,152.8
1,1.69,152.8
1,3.63,152.8
1,3.63,152.8
1,2.68,152.8
1,2.68,152.8
1,2.76,152.8
1,2.76,152.8
1,2.34,152.8
1,2.34,152.8
1,2.89,152.8
1,3.06,152.8
1,2.89,152.8
1,3.06,152.8
1,2.15,152.8
1,2.15,152.8
1,1.47,152.8
1,1.47,152.8
1,2.94,152.8
1,2.94,152.8
1,2.32,152.8
1,2.32,152.8
1,1.31,152.8
1,1.31,152.8
1,0.93,152.8
1,0.93,152.8
1,1.19,152.8
1,1.19,152.8
1,1.95,152.8
1,1.95,152.8
1,2.11,152.8
1,2.11,152.8
1,1.46,152.8
1,1.46,152.8
1,2.41,152.8
1,2.41,152.8
1,1.24,152.8
1,1.24,152.8
1,1.93,152.8
1,1.93,152.8
1,1.30,152.8
1,1.30,152.8
1,1.29,152.8
1,2.55,152.8
1,1.29,152.8
1,2.55,152.8
1,1.88,152.8
1,1.88,152.8
1,0.80,152.8
1,0.80,152.8
1,0.74,154.2
1,0.74,154.2
1,2.78,154.2
1,2.78,154.2
1,1.82,154.2
1,1.82,154.2
1,3.57,154.2
1,3.57,154.2
1,1.50,154.2
1,1.50,154.2
1,2.32,154.2
1,1.99,154.2
1,1.99,154.2
1,2.20,154.2
1,2.21,154.2
1,2.21,154.2
1,2.25,154.2
1,2.25,154.2
1,1.80,154.2
1,1.07,154.2
1,1.07,154.2
1,2.12,154.2
1,2.12,154.2
1,2.32,154.2
1,2.32,154.2
1,1.46,154.2
1,1.70,154.2
1,1.70,154.2
1,2.17,154.2
1,2.17,154.2
1,1.26,154.2
1,1.26,154.2
1,1.78,154.2
1,1.78,154.2
1,2.10,154.2
1,2.10,154.2
1,1.07,154.2
1,1.07,154.2
1,2.04,154.2
1,0.88,154.2
1,0.88,154.2
1,2.73,154.2
1,2.73,154.2
1,1.18,154.2
1,1.18,154.2
1,2.37,154.2
1,2.37,154.2
1,1.35,154.2
1,1.35,154.2
1,3.01,154.2
1,3.01,154.2
1,2.28,154.2
1,1.81,154.2
1,2.28,154.2
1,1.81,154.2
1,0.71,154.2
1,0.71,154.2
1,2.05,154.2
1,0.62,154.2
1,0.62,154.2
1,2.09,154.2
1,2.09,154.2
1,1.10,154.2
1,1.10,154.2
1,1.13,154.2
1,1.13,154.2
1,2.10,154.2
1,2.10,154.2
1,1.56,154.2
1,1.56,154.2
1,1.73,154.2
1,1.73,154.2
1,1.72,154.2
1,1.72,154.2
1,3.31,154.2
1,3.31,154.2
1,0.15,154.2
1,0.15,154.2
1,0.11,154.2
1,0.11,154.2
1,2.95,154.2
1,2.95,154.2
1,0.26,154.2
1,0.26,154.2
1,0.40,154.2
1,0.40,154.2
1,2.05,155.8
1,2.05,155.8
1,1.91,155.8
1,1.91,155.8
1,1.19,155.8
1,1.19,155.8
1,1.53,155.8
1,1.53,155.8
1,1.48,155.8
1,1.48,155.8
1,1.02,155.8
1,1.02,155.8
1,0.49,155.8
1,0.49,155.8
1,2.07,155.8
1,2.07,155.8
1,1.56,155.8
1,1.56,155.8
1,1.96,155.8
1,1.96,155.8
1,1.90,155.8
1,1.90,155.8
1,1.53,155.8
1,1.53,155.8
1,0.31,155.8
1,0.31,155.8
1,1.75,155.8
1,1.75,155.8
1,1.27,157.1
1,1.27,157.1
1,0.70,157.1
1,0.70,157.1
1,1.65,157.1
1,1.65,157.1
1,2.15,157.1
1,2.15,157.1
1,1.99,157.1
1,1.99,157.1
1,0.12,157.1
1,0.12,157.1
1,2.44,157.1
1,2.44,157.1
1,1.94,157.1
1,1.94,157.1
1,2.13,157.1
1,2.13,157.1
1,0.90,157.1
1,0.90,157.1
1,1.49,157.1
1,1.49,157.1
1,2.00,157.1
1,2.00,157.1
1,1.87,157.1
1,1.87,157.1
1,1.30,157.1
1,1.30,157.1
1,1.49,157.1
1,1.49,157.1
1,1.50,157.1
1,1.50,157.1
1,0.88,157.7
1,0.88,157.7
1,1.96,157.7
1,1.96,157.7
1,2.20,157.7
1,2.20,157.7
1,2.04,157.7
1,2.04,157.7
1,0.53,157.7
1,0.53,157.7
1,3.00,157.7
1,3.00,157.7
1,0.44,157.7
1,0.44,157.7
1,1.63,157.7
1,1.63,157.7
1,1.94,157.7
1,1.94,157.7
1,2.83,157.7
1,2.83,157.7
1,0.73,157.7
1,0.73,157.7
1,1.88,157.7
1,1.88,157.7
1,0.48,158
1,0.48,158
1,1.48,158
1,1.48,158
1,1.97,158
1,1.50,158
1,1.50,158
1,3.08,158.3
1,3.08,158.3
1,3.04,158.3
1,3.04,158.3
1,3.22,158.3
1,3.22,158.3
1,3.30,158.3
1,3.30,158.3
1,3.63,158.3
1,3.63,158.3
1,2.63,158.3
1,2.63,158.3
1,3.04,158.3
1,3.04,158.3
1,3.01,158.3
1,3.01,158.3
1,2.61,158.3
1,2.61,158.3
1,3.22,158.3
1,3.22,158.3
1,1.96,158.3
1,1.96,158.3
1,1.80,158.8
1,1.80,158.8
1,2.80,158.8
1,2.80,158.8
1,2.95,158.8
1,2.95,158.8
1,1.74,158.8
1,1.74,158.8
1,3.74,158.8
1,3.74,158.8
1,4.02,158.8
1,4.02,158.8
1,2.90,158.8
1,3.61,158.8
1,2.90,158.8
1,3.61,158.8
1,3.54,158.8
1,3.54,158.8
1,4.69,158.8
1,4.69,158.8
1,2.41,158.8
1,2.41,158.8
1,3.15,158.8
1,3.15,158.8
1,3.79,158.8
1,3.79,158.8
1,3.98,158.8
1,3.98,158.8
1,3.89,158.8
1,3.53,158.8
1,3.89,158.8
1,3.53,158.8
1,3.98,158.8
1,3.98,158.8
1,3.02,158.8
1,3.02,158.8
1,3.22,158.8
1,2.25,158.8
1,3.22,158.8
1,2.25,158.8
1,2.75,158.8
1,2.75,158.8
1,3.96,158.8
1,3.96,158.8
1,4.14,158.8
1,4.14,158.8
1,3.24,158.8
1,3.24,158.8
1,2.30,158.8
1,2.30,158.8
1,2.98,158.8
1,2.41,158.8
1,2.98,158.8
1,2.41,158.8
1,2.87,158.8
1,2.87,158.8
1,2.97,158.8
1,2.97,158.8
1,2.64,158.8
1,2.64,158.8
1,2.68,158.8
1,2.68,158.8
1,2.50,158.8
1,2.50,158.8
1,3.01,158.8
1,3.01,158.8
1,2.65,158.8
1,2.65,158.8
1,2.31,158.8
1,2.31,158.8
1,2.47,158.8
1,2.47,158.8
1,3.15,158.8
1,3.15,158.8
1,1.74,158.8
1,1.74,158.8
1,2.58,159.4
1,2.58,159.4
1,3.05,159.4
1,3.05,159.4
1,3.87,159.4
1,3.87,159.4
1,3.05,159.4
1,3.05,159.4
1,2.62,159.4
1,2.62,159.4
1,3.68,159.4
1,3.68,159.4
1,4.26,159.4
1,4.26,159.4
1,1.61,159.4
1,1.61,159.4
1,2.55,159.4
1,2.55,159.4
1,3.24,159.4
1,3.24,159.4
1,1.89,159.4
1,2.95,159.4
1,2.95,159.4
1,1.89,159.4
1,2.68,159.4
1,2.68,159.4
1,3.30,159.4
1,3.30,159.4
1,1.93,159.4
1,1.93,159.4
1,2.27,159.4
1,2.27,159.4
1,3.65,159.4
1,3.65,159.4
1,2.45,159.4
1,2.45,159.4
1,2.47,159.4
1,2.47,159.4
1,1.74,159.4
1,1.74,159.4
1,2.41,159.4
1,2.41,159.4
1,2.81,159.4
1,2.81,159.4
1,0.01,159.4
1,0.01,159.4
