region number,d18O,Age
1,-2.09,145
1,-2.09,145
1,-1.17,145
1,-1.17,145
1,-1.47,145.7
1,-1.47,145.7
1,-1.76,146.8
1,-1.76,146.8
1,-1.24,146.8
1,-1.24,146.8
1,0.06,147.2
1,0.06,147.2
1,0.93,147.2
1,0.93,147.2
1,-0.70,147.7
1,-0.70,147.7
1,-0.11,147.7
1,-0.11,147.7
1,-0.39,149
1,-0.39,149
1,-0.76,150.7
1,-0.76,150.7
1,-2.07,152.8
1,-2.07,152.8
1,-1.85,152.8
1,-1.85,152.8
1,-1.53,152.8
1,-1.53,152.8
1,-1.48,152.8
1,-1.48,152.8
1,-1.41,152.8
1,-1.41,152.8
1,-1.39,152.8
1,-1.39,152.8
1,-1.26,152.8
1,-1.26,152.8
1,-1.23,152.8
1,-1.23,152.8
1,-1.23,152.8
1,-1.23,152.8
1,-1.22,152.8
1,-1.22,152.8
1,-1.16,152.8
1,-1.16,152.8
1,-1.11,152.8
1,-1.11,152.8
1,-0.81,152.8
1,-0.81,152.8
1,-0.67,152.8
1,-0.67,152.8
1,-0.66,152.8
1,-0.66,152.8
1,-0.65,152.8
1,-0.65,152.8
1,-0.53,152.8
1,-0.53,152.8
1,-0.49,152.8
1,-0.49,152.8
1,-0.45,152.8
1,-0.45,152.8
1,-0.41,152.8
1,-0.41,152.8
1,-0.25,152.8
1,-0.25,152.8
1,-0.23,152.8
1,-0.23,152.8
1,0.08,152.8
1,0.08,152.8
1,0.09,152.8
1,0.09,152.8
1,0.09,152.8
1,0.09,152.8
1,0.44,152.8
1,0.44,152.8
1,0.62,152.8
1,0.62,152.8
1,-2.08,154.2
1,-2.08,154.2
1,1.24,154.2
1,1.24,154.2
1,-1.88,154.2
1,-1.88,154.2
1,-1.70,154.2
1,-1.70,154.2
1,-1.68,154.2
1,-1.68,154.2
1,-1.48,154.2
1,-1.47,154.2
1,-1.47,154.2
1,-1.15,154.2
1,-1.13,154.2
1,-1.13,154.2
1,-1.09,154.2
1,-1.09,154.2
1,-0.86,154.2
1,-0.71,154.2
1,-0.71,154.2
1,-0.64,154.2
1,-0.64,154.2
1,-0.62,154.2
1,-0.62,154.2
1,-0.61,154.2
1,-0.61,154.2
1,-0.61,154.2
1,-0.58,154.2
1,-0.58,154.2
1,-0.57,154.2
1,-0.57,154.2
1,-0.53,154.2
1,-0.53,154.2
1,-0.52,154.2
1,-0.52,154.2
1,-0.51,154.2
1,-0.51,154.2
1,-0.50,154.2
1,-0.49,154.2
1,-0.49,154.2
1,-0.47,154.2
1,-0.47,154.2
1,-0.46,154.2
1,-0.46,154.2
1,-0.44,154.2
1,-0.44,154.2
1,-0.43,154.2
1,-0.43,154.2
1,-0.36,154.2
1,-0.36,154.2
1,-0.35,154.2
1,-0.35,154.2
1,-0.35,154.2
1,-0.35,154.2
1,-0.29,154.2
1,-0.29,154.2
1,-0.19,154.2
1,-0.17,154.2
1,-0.17,154.2
1,-0.16,154.2
1,-0.16,154.2
1,-0.14,154.2
1,-0.14,154.2
1,-0.07,154.2
